PLAYER_NAME,POSITION
A.J. Green,SG
A.J. Lawson,SG
AJ Griffin,SF
Aaron Gordon,PF
Aaron Holiday,PG
Aaron Nesmith,SF
Aaron Wiggins,SG
Adam Flagler,SG
Adama Sanogo,PF
Admiral Schofield,PF
Al Horford,C
Alec Burks,SG
Aleksandar Vezenkov,PF
Aleksej Pokusevski,PF
Alex Caruso,SG
Alex Fudge,SF
Alex Len,C
Alondes Williams,SG
Alperen Sengun,C
Amari Bailey,PG
Amen Thompson,SF
Amir Coffey,SF
Andre Drummond,C
Andre Jackson,SG
Andrew Nembhard,PG
Andrew Wiggins,SF
Anfernee Simons,SG
Anthony Black,PG
Anthony Davis,C
Anthony Edwards,SG
Anthony Gill,PF
Armoni Brooks,PG
Ashton Hagans,PG
Ausar Thompson,SF
Austin Reaves,SG
Ayo Dosunmu,SG
Bam Adebayo,C
Ben Sheppard,SG
Ben Simmons,PG
Bennedict Mathurin,SF
Bilal Coulibaly,SF
Bismack Biyombo,C
Blake Wesley,SG
Boban Marjanovic,C
Bobby Portis,PF
Bogdan Bogdanovic,SG
Bojan Bogdanovic,PF
Bol Bol,PF
Bones Hyland,PG
Bradley Beal,SG
Brandin Podziemski,SG
Brandon Boston,SF
Brandon Ingram,SF
Brandon Miller,SF
Brandon Williams,PG
Braxton Key,SF
Brice Sensabaugh,SF
Brook Lopez,C
Bruce Brown,SG
Bruno Fernando,C
Bryce McGowens,SG
Buddy Hield,SF
CJ McCollum,PG
Cade Cunningham,PG
Caleb Houstan,SF
Caleb Martin,SF
Cam Reddish,SF
Cam Thomas,SG
Cam Whitmore,SF
Cameron Johnson,PF
Cameron Payne,PG
Caris LeVert,SG
Cason Wallace,SG
Cedi Osman,SF
Charles Bassey,C
Charlie Brown,SG
Chet Holmgren,C
Chimezie Metu,C
Chris Boucher,PF
Chris Duarte,SF
Chris Livingston,SF
Chris Paul,PG
Christian Braun,SG
Christian Wood,PF
Chuma Okeke,SF
Clint Capela,C
Coby White,PG
Cody Martin,SF
Cody Zeller,C
Colby Jones,SG
Cole Anthony,PG
Cole Swider,SF
Colin Castleton,C
Collin Gillespie,PG
Collin Sexton,SG
Corey Kispert,SF
Cory Joseph,PG
Craig Porter,PG
D.J. Carton,SG
D'Angelo Russell,PG
D'Moi Hodge,SG
DaQuan Jeffries,SG
Dariq Miller-Whitehead,SF
Daishen Nix,PG
Dalano Banton,PG
Dalen Terry,SG
Damian Jones,C
Damian Lillard,PG
Daniel Gafford,C
Daniel Theis,C
Danilo Gallinari,PF
Danny Green,SG
Dante Exum,PG
Danuel House,SF
Dario Saric,C
Dariq Whitehead,SF
Darius Bazley,PF
Darius Garland,PG
David Roddy,PF
Davion Mitchell,PG
Davis Bertans,PF
